nome,descrizione,posizione,ultima posizione,penultima posizione
gazebo1,ottimo stato,,,
gazebo2,da riparare,,,
gazebo3,condizioni perfette,,,
bunker,struttura solida,,,
cassa missile,lievi ammaccature,,,
bobina corda,corda nuova,,,
prolunga industriale 25mt,manca spina,,,
generatore1,da revisionare,,,
generatore2,ottimo stato,,,
batteria 12V 100Ah,condizioni perfette,,,
macchina del fumo,funzionante,,,
corridoio laser,da sistemare,,,
faretto 100W,buone condizioni,,,
faretto 20W,funzionante,,,
pannello solare 100W,nuovo,,,
inverter 1500W,ottimo stato,,,
pompa sommersa,da verificare,,,
lampada UV,perfettamente funzionante,,,
tende rinforzate,nuovo,,,
tanica acqua 20L,usato ma integro,,,
compressore portatile,funzionante,,,
kit pronto soccorso,nuovo,,,
scala telescopica,in buono stato,,,
torcia LED ricaricabile,batteria scarica,,,
parabola satellitare,ottime condizioni,,,
sistema radio CB,usato,,,
box attrezzi,funzionante,,,
trapano a batteria,ottimo stato,,,
saldatrice inverter,come nuovo,,,
ventilatore industriale,buone condizioni,,,
rilevatore gas,funzionante,,,
sensore movimento,ottimo stato,,,
catena antifurto,leggermente usurato,,,
telecamera PTZ,nuovo,,,
drone sorveglianza,in perfette condizioni,,,
sistema irrigazione portatile,da verificare,,,
mulino elettrico,funzionante,,,
filtro acqua portatile,come nuovo,,,
tanica benzina 10L,buone condizioni,,,
rete mimetica,usato ma integro,,,
supporto pannelli solari,nuovo,,,
torcia segnaletica,funzionante,,,
zaino tattico,in ottime condizioni,,,
casco protettivo,integro,,,
giubbotto antiproiettile,perfettamente funzionante,,,
bastone telescopico,nuovo,,,
fornello portatile,funzionante,,,
cavo di ricarica 10mt,leggermente usurato,,,
martello multifunzione,ottimo stato,,,
pannello fotovoltaico pieghevole,nuovo,,,
